id,nhom_hang,stt,ten,xuat_xu,quy_cach,dvt,don_gia,anh
610,Hàng tạp phẩm,1,Khăn giấy Wattersilk 200 tờ/gói,Việt nam,200tờ/gói,Gói,20000,hang-tap-pham_0610.webp
611,Hàng tạp phẩm,2,Giấy rút hà nội ngắn 150 tờ,Việt nam,150 tờ/gói,Gói,15000,hang-tap-pham_0611.webp
612,Hàng tạp phẩm,3,Giấy rút Fairy Đào 3 lớp,Việt nam,150 tờ/gói,Gói,15000,hang-tap-pham_0612.webp
613,Hàng tạp phẩm,4,Khăn giấy Fairy 280 tờ/gói,Việt nam,280tờ/gói,Gói,23000,hang-tap-pham_0613.webp
614,Hàng tạp phẩm,5,Khăn giấy hộp Wattersilk 200 tờ/hộp,Việt nam,200tờ/hộp,hộp,24000,hang-tap-pham_0614.webp
615,Hàng tạp phẩm,6,Khăn giấy hộp Pulppy 180 tờ/hộp,Việt nam,180tờ/hộp,hộp,24000,hang-tap-pham_0615.webp
616,Hàng tạp phẩm,1,Giấy vệ sinh Watersilk( 12 cuộn/ bịch),Việt nam,12cuộn/túi,túi,45000,hang-tap-pham_0616.webp
617,Hàng tạp phẩm,2,Giấy vệ sinh Silkwell,Việt nam,10cuộn/túi,túi,57000,hang-tap-pham_0617.webp
618,Hàng tạp phẩm,2,Giấy vệ sinh hàng không không lõi (10 cuộn/bịch),Việt nam,10cuộn/túi,túi,55000,hang-tap-pham_0618.webp
619,Hàng tạp phẩm,3,Giấy vệ sinh Watersilk- có lõi ( 10 cuộn/ bịch)- Cao cấp,Việt nam,10cuộn/túi,túi,80000,hang-tap-pham_0619.webp
620,Hàng tạp phẩm,3,Giấy vệ sinh Watersilk- Không lõi ( 10 cuộn/ bịch)- Cao cấp,Việt nam,10cuộn/túi,túi,80000,hang-tap-pham_0620.webp
621,Hàng tạp phẩm,4,Giấy vệ sinh Hà nội tím TIE- có lõi ( 10 cuộn/ bịch- cao cấp),Việt nam,10cuộn/túi,túi,86500,hang-tap-pham_0621.webp
622,Hàng tạp phẩm,4,Giấy vệ sinh cuộn Fairy 700g( Công nghiệp cuộn to),Việt nam,10cuộn/túi,Cuộn,35000,hang-tap-pham_0622.webp
623,Hàng tạp phẩm,5,Giấy vệ sinh Hà nội xanh TIE-( 10 cuộn/ bịch) loại 1,Việt nam,10cuộn/túi,túi,87500,hang-tap-pham_0623.webp
624,Hàng tạp phẩm,5,Nước lọc lavie 350 ml (24 chai/thùng),Việt nam,24 chai/thùng,chai,5400,hang-tap-pham_0624.webp
625,Hàng tạp phẩm,6,Nước lọc lavie 500 ml (24 chai/thùng),Việt nam,24 chai/thùng,chai,6500,hang-tap-pham_0625.webp
626,Hàng tạp phẩm,7,Nước TH True Water 350ml,Việt nam,24 chai/thùng,thùng,140000,hang-tap-pham_0626.webp
627,Hàng tạp phẩm,6,Nước khoáng Lavie 19L,Việt nam,19 lít,bình,96000,
628,Hàng tạp phẩm,8,Ổ cắm lioa 3D3S 3m,Việt Nam,10 chiếc/thùng,Chiếc,140000,
629,"Phấn,l.bảng,N.châm",1,Phấn Đức thanh trắng( 10 viên/ hộp),Việt nam,loại tốt,hộp,3500,phan-l-bang-n-cham_0629.webp
630,"Phấn,l.bảng,N.châm",2,Phấn Đức Thanh màu( 10 viên/ hộp),Việt nam,loại tốt,hộp,5000,phan-l-bang-n-cham_0630.webp
631,"Phấn,l.bảng,N.châm",#REF!,Lau bảng Deli 7837,Đài Loan,loại tốt,cái,19000,phan-l-bang-n-cham_0631.webp
632,"Phấn,l.bảng,N.châm",#REF!,Nam châm đính bảng,Việt nam,loại tốt,vỉ,12500,phan-l-bang-n-cham_0632.webp
633,"Phấn,l.bảng,N.châm",#REF!,Kẹp từ tính nhỏ Plus,Việt nam,loại tốt,chiếc,27000,phan-l-bang-n-cham_0633.webp
634,"Phấn,l.bảng,N.châm",#REF!,Kẹp từ tính to Plus,Việt nam,loại tốt,chiếc,31500,phan-l-bang-n-cham_0634.webp
